"기업규모별","산업분류","시점","항목",데이터
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2020","교육훈련비용 (천원)",2.7
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2021","상여금 및 성과금 (천원)",218.7
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2021","법정외 복지비용 (천원)",162.3
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2021","채용관련비용(모집비) (천원)",0.6
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2021","교육훈련비용 (천원)",2.3
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2022","상여금 및 성과금 (천원)",272.7
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2022","법정외 복지비용 (천원)",157.0
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2022","채용관련비용(모집비) (천원)",1.0
"1규모(상용근로자 10~29인)","C.제조업(10~34)","2022","교육훈련비용 (천원)",1.6
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","상여금 및 성과금 (천원)",622.1
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","법정외 복지비용 (천원)",255.7
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","채용관련비용(모집비) (천원)",0.4
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2019","교육훈련비용 (천원)",19.7
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","상여금 및 성과금 (천원)",553.3
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","법정외 복지비용 (천원)",263.6
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","채용관련비용(모집비) (천원)",0.9
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2020","교육훈련비용 (천원)",10.3
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","상여금 및 성과금 (천원)",460.8
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","법정외 복지비용 (천원)",269.2
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","채용관련비용(모집비) (천원)",2.1
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2021","교육훈련비용 (천원)",16.6
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","상여금 및 성과금 (천원)",372.4
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","법정외 복지비용 (천원)",171.9
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","채용관련비용(모집비) (천원)",3.2
"1규모(상용근로자 10~29인)","D.전기, 가스, 증기 및 공기 조절 공급업(35)","2022","교육훈련비용 (천원)",12.4
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","상여금 및 성과금 (천원)",370.9
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","법정외 복지비용 (천원)",186.0
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","채용관련비용(모집비) (천원)",0.2
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2019","교육훈련비용 (천원)",1.9
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","상여금 및 성과금 (천원)",451.4
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","법정외 복지비용 (천원)",180.5
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","채용관련비용(모집비) (천원)",0.1
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2020","교육훈련비용 (천원)",0.8
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","상여금 및 성과금 (천원)",453.7
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","법정외 복지비용 (천원)",135.3
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","채용관련비용(모집비) (천원)",0.2
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2021","교육훈련비용 (천원)",1.0
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","상여금 및 성과금 (천원)",184.4
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","법정외 복지비용 (천원)",158.1
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","채용관련비용(모집비) (천원)",0.8
"1규모(상용근로자 10~29인)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","2022","교육훈련비용 (천원)",2.5
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2019","상여금 및 성과금 (천원)",169.7
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2019","법정외 복지비용 (천원)",122.3
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2019","채용관련비용(모집비) (천원)",0.7
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2019","교육훈련비용 (천원)",3.1
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2020","상여금 및 성과금 (천원)",135.6
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2020","법정외 복지비용 (천원)",117.8
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2020","채용관련비용(모집비) (천원)",0.5
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2020","교육훈련비용 (천원)",3.8
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2021","상여금 및 성과금 (천원)",146.6
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2021","법정외 복지비용 (천원)",123.9
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2021","채용관련비용(모집비) (천원)",0.8
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2021","교육훈련비용 (천원)",8.9
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2022","상여금 및 성과금 (천원)",171.8
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2022","법정외 복지비용 (천원)",114.5
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2022","채용관련비용(모집비) (천원)",0.2
"1규모(상용근로자 10~29인)","F.건설업(41~42)","2022","교육훈련비용 (천원)",5.4
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2019","상여금 및 성과금 (천원)",304.0
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2019","법정외 복지비용 (천원)",129.9
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2019","채용관련비용(모집비) (천원)",2.4
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2019","교육훈련비용 (천원)",2.5
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2020","상여금 및 성과금 (천원)",235.0
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2020","법정외 복지비용 (천원)",143.3
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2020","채용관련비용(모집비) (천원)",0.7
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2020","교육훈련비용 (천원)",1.0
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2021","상여금 및 성과금 (천원)",234.4
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2021","법정외 복지비용 (천원)",106.3
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2021","채용관련비용(모집비) (천원)",2.1
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2021","교육훈련비용 (천원)",3.7
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2022","상여금 및 성과금 (천원)",342.1
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2022","법정외 복지비용 (천원)",108.5
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2022","채용관련비용(모집비) (천원)",1.7
"1규모(상용근로자 10~29인)","G.도매 및 소매업(45~47)","2022","교육훈련비용 (천원)",2.5
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2019","상여금 및 성과금 (천원)",188.2
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2019","법정외 복지비용 (천원)",97.5
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2019","채용관련비용(모집비) (천원)",1.1
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2019","교육훈련비용 (천원)",1.4
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2020","상여금 및 성과금 (천원)",260.8
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2020","법정외 복지비용 (천원)",105.4
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2020","채용관련비용(모집비) (천원)",1.2
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2020","교육훈련비용 (천원)",0.9
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2021","상여금 및 성과금 (천원)",323.0
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2021","법정외 복지비용 (천원)",98.8
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2021","채용관련비용(모집비) (천원)",1.3
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2021","교육훈련비용 (천원)",1.5
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2022","상여금 및 성과금 (천원)",379.3
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2022","법정외 복지비용 (천원)",109.2
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2022","채용관련비용(모집비) (천원)",2.2
"1규모(상용근로자 10~29인)","H.운수 및 창고업(49~52)","2022","교육훈련비용 (천원)",3.3
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2019","상여금 및 성과금 (천원)",36.2
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2019","법정외 복지비용 (천원)",49.1
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2019","채용관련비용(모집비) (천원)",2.0
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2019","교육훈련비용 (천원)",1.3
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2020","상여금 및 성과금 (천원)",33.7
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2020","법정외 복지비용 (천원)",74.4
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2020","채용관련비용(모집비) (천원)",2.0
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2020","교육훈련비용 (천원)",1.1
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2021","상여금 및 성과금 (천원)",34.2
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2021","법정외 복지비용 (천원)",66.3
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2021","채용관련비용(모집비) (천원)",3.5
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2021","교육훈련비용 (천원)",0.9
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2022","상여금 및 성과금 (천원)",48.1
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2022","법정외 복지비용 (천원)",51.1
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2022","채용관련비용(모집비) (천원)",0.5
"1규모(상용근로자 10~29인)","I.숙박 및 음식점업(55~56)","2022","교육훈련비용 (천원)",0.5
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2019","상여금 및 성과금 (천원)",214.0
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2019","법정외 복지비용 (천원)",82.3
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2019","채용관련비용(모집비) (천원)",1.9
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2019","교육훈련비용 (천원)",4.2
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2020","상여금 및 성과금 (천원)",140.5
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2020","법정외 복지비용 (천원)",84.6
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2020","채용관련비용(모집비) (천원)",3.9
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2020","교육훈련비용 (천원)",3.8
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2021","상여금 및 성과금 (천원)",161.5
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2021","법정외 복지비용 (천원)",85.1
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2021","채용관련비용(모집비) (천원)",2.8
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2021","교육훈련비용 (천원)",6.6
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2022","상여금 및 성과금 (천원)",352.8
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2022","법정외 복지비용 (천원)",87.6
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2022","채용관련비용(모집비) (천원)",2.6
"1규모(상용근로자 10~29인)","J.정보통신업(58~63)","2022","교육훈련비용 (천원)",4.3
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2019","상여금 및 성과금 (천원)",1473.4
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2019","법정외 복지비용 (천원)",176.7
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2019","채용관련비용(모집비) (천원)",15.3
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2019","교육훈련비용 (천원)",16.7
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2020","상여금 및 성과금 (천원)",3323.4
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2020","법정외 복지비용 (천원)",186.7
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2020","채용관련비용(모집비) (천원)",12.9
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2020","교육훈련비용 (천원)",13.1
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2021","상여금 및 성과금 (천원)",3179.3
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2021","법정외 복지비용 (천원)",158.7
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2021","채용관련비용(모집비) (천원)",25.0
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2021","교육훈련비용 (천원)",26.2
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2022","상여금 및 성과금 (천원)",1105.8
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2022","법정외 복지비용 (천원)",124.6
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2022","채용관련비용(모집비) (천원)",4.3
"1규모(상용근로자 10~29인)","K.금융 및 보험업(64~66)","2022","교육훈련비용 (천원)",13.3
"1규모(상용근로자 10~29인)","L.부동산업(68)","2019","상여금 및 성과금 (천원)",390.9
"1규모(상용근로자 10~29인)","L.부동산업(68)","2019","법정외 복지비용 (천원)",75.2
"1규모(상용근로자 10~29인)","L.부동산업(68)","2019","채용관련비용(모집비) (천원)",1.4
"1규모(상용근로자 10~29인)","L.부동산업(68)","2019","교육훈련비용 (천원)",6.6
"1규모(상용근로자 10~29인)","L.부동산업(68)","2020","상여금 및 성과금 (천원)",226.3
"1규모(상용근로자 10~29인)","L.부동산업(68)","2020","법정외 복지비용 (천원)",94.3
"1규모(상용근로자 10~29인)","L.부동산업(68)","2020","채용관련비용(모집비) (천원)",1.0
"1규모(상용근로자 10~29인)","L.부동산업(68)","2020","교육훈련비용 (천원)",4.5
"1규모(상용근로자 10~29인)","L.부동산업(68)","2021","상여금 및 성과금 (천원)",256.1
"1규모(상용근로자 10~29인)","L.부동산업(68)","2021","법정외 복지비용 (천원)",154.4
"1규모(상용근로자 10~29인)","L.부동산업(68)","2021","채용관련비용(모집비) (천원)",1.2
"1규모(상용근로자 10~29인)","L.부동산업(68)","2021","교육훈련비용 (천원)",4.7
"1규모(상용근로자 10~29인)","L.부동산업(68)","2022","상여금 및 성과금 (천원)",235.1
"1규모(상용근로자 10~29인)","L.부동산업(68)","2022","법정외 복지비용 (천원)",63.7
"1규모(상용근로자 10~29인)","L.부동산업(68)","2022","채용관련비용(모집비) (천원)",0.0
"1규모(상용근로자 10~29인)","L.부동산업(68)","2022","교육훈련비용 (천원)",3.1
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","상여금 및 성과금 (천원)",232.0
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","법정외 복지비용 (천원)",81.8
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","채용관련비용(모집비) (천원)",2.6
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2019","교육훈련비용 (천원)",4.3
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","상여금 및 성과금 (천원)",287.0
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","법정외 복지비용 (천원)",81.3
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","채용관련비용(모집비) (천원)",3.7
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2020","교육훈련비용 (천원)",4.0
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","상여금 및 성과금 (천원)",285.3
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","법정외 복지비용 (천원)",92.5
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","채용관련비용(모집비) (천원)",2.7
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2021","교육훈련비용 (천원)",8.1
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","상여금 및 성과금 (천원)",304.0
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","법정외 복지비용 (천원)",68.4
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","채용관련비용(모집비) (천원)",1.4
"1규모(상용근로자 10~29인)","M.전문, 과학 및 기술 서비스업(70~73)","2022","교육훈련비용 (천원)",5.6
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","상여금 및 성과금 (천원)",102.8
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","법정외 복지비용 (천원)",88.7
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","채용관련비용(모집비) (천원)",1.8
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2019","교육훈련비용 (천원)",1.8
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","상여금 및 성과금 (천원)",101.0
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","법정외 복지비용 (천원)",96.3
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","채용관련비용(모집비) (천원)",1.8
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2020","교육훈련비용 (천원)",2.0
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","상여금 및 성과금 (천원)",76.1
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","법정외 복지비용 (천원)",88.5
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","채용관련비용(모집비) (천원)",0.6
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2021","교육훈련비용 (천원)",7.9
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","상여금 및 성과금 (천원)",64.5
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","법정외 복지비용 (천원)",54.0
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","채용관련비용(모집비) (천원)",0.9
"1규모(상용근로자 10~29인)","N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","2022","교육훈련비용 (천원)",1.5
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","상여금 및 성과금 (천원)",285.9
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","법정외 복지비용 (천원)",172.5
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","채용관련비용(모집비) (천원)",0.8
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2019","교육훈련비용 (천원)",1.2
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","상여금 및 성과금 (천원)",90.7
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","법정외 복지비용 (천원)",155.6
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","채용관련비용(모집비) (천원)",3.0
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2020","교육훈련비용 (천원)",3.2
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","상여금 및 성과금 (천원)",120.6
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","법정외 복지비용 (천원)",220.1
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","채용관련비용(모집비) (천원)",1.4
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2021","교육훈련비용 (천원)",3.7
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","상여금 및 성과금 (천원)",162.2
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","법정외 복지비용 (천원)",125.3
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","채용관련비용(모집비) (천원)",1.0
"1규모(상용근로자 10~29인)","R.예술, 스포츠 및 여가관련 서비스업(90~91)","2022","교육훈련비용 (천원)",1.9
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","상여금 및 성과금 (천원)",86.3
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","법정외 복지비용 (천원)",122.1
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","채용관련비용(모집비) (천원)",1.8
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2019","교육훈련비용 (천원)",2.8
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","상여금 및 성과금 (천원)",29.3
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","법정외 복지비용 (천원)",110.6
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","채용관련비용(모집비) (천원)",0.2
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2020","교육훈련비용 (천원)",0.6
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","상여금 및 성과금 (천원)",70.3
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","법정외 복지비용 (천원)",113.4
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","채용관련비용(모집비) (천원)",0.5
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2021","교육훈련비용 (천원)",1.7
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","상여금 및 성과금 (천원)",77.5
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","법정외 복지비용 (천원)",86.3
"1규모(상용근로자 10~29인)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)","2022","채용관련비용(모집비) (천원)",0.2
